Código;Município;Densidade demográfica, 2000;Renda per Capita, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Variacao_Populacao_1991_a_2000;Percentual_Populacao_Urbana;Populacao por Supermercados
315460;Ribeirão das Neves (MG);1595.0;159.14;41.97;0.749;0.7159600425434298;0.994146147800653;574.060465116279
354330;Ribeirão Pires (SP);1049.7;362.72;44.16;0.807;0.2282776047481929;1.0;715.8082191780821
354340;Ribeirão Preto (SP);774.3;539.84;46.67;0.855;0.170903820511334;0.9957161785064256;465.7961254612546
120040;Rio Branco (AC);25.4;264.43;45.24;0.754;0.3717347585930257;0.8942499575197879;189.98423423423424
354390;Rio Claro (SP);336.2;467.38;39.41;0.825;0.2192890899075121;0.9718163335671568;435.7979274611399
330455;Rio de Janeiro (RJ);4627.9;596.65;46.9;0.842;0.068810794399617;1.0;734.9942283563363
431560;Rio Grande (RS);65.9;318.37;43.86;0.793;0.0819037013838142;0.9606741573033708;230.87128712871288
521880;Rio Verde (GO);13.9;339.81;36.21;0.807;0.2985427158072997;0.9101431120873088;195.55704697986576
510760;Rondonópolis (MT);35.9;294.33;44.47;0.791;0.2196620957855339;0.9441578411337508;225.56606606606607
315670;Sabará (MG);376.3;214.34;41.28;0.773;0.2854022732337864;0.9769574866495596;600.7916666666666
292740;Salvador (BA);3440.3;341.32;46.31;0.805;0.1761222497371533;0.9995886385655642;587.8505774783446
354580;Santa Bárbara d'Oeste (SP);623.6;325.31;41.43;0.819;0.1708039045612874;0.987294065076024;759.2767857142857
431680;Santa Cruz do Sul (RS);174.2;386.21;39.56;0.817;0.145545302638441;0.8713579604578564;339.5331230283912
315780;Santa Luzia (MG);788.1;192.36;42.44;0.754;0.3415780881552694;0.9962412724509608;633.2294520547945
431690;Santa Maria (RS);133.4;429.25;39.8;0.845;0.1715897504953543;0.9469851525587925;261.10503751339763
251370;Santa Rita (PB);150.9;105.07;48.71;0.659;0.2269920455869425;0.8673302026863713;449.0077519379845
150680;Santarém (PA);10.8;139.9;51.81;0.746;0.0869428412920534;0.709600134075829;421.40930979133225
354780;Santo André (SP);3701.2;512.87;53.14;0.835;0.0524156754312461;1.0;588.6953762466002
354850;Santos (SP);1487.3;729.62;52.89;0.871;0.0445266327639848;0.9946505001399578;454.8237214363439
432000;Sapucaia do Sul (RS);2115.1;271.38;42.73;0.806;0.1703389426514754;0.9923585143909216;310.7620253164557
354870;São Bernardo do Campo (SP);1720.5;505.45;53.51;0.834;0.2404051558230566;0.9825648449821311;891.2256020278834
354880;São Caetano do Sul (SP);9100.3;834.0;50.66;0.919;-0.0626007397053217;1.0;465.6445182724253
354890;São Carlos (SP);168.7;456.25;38.23;0.841;0.2198001529506197;0.950439900931616;385.996
330490;São Gonçalo (RJ);3540.9;268.79;43.44;0.782;0.142706377783933;1.0;422.9326056003797
330510;São João de Meriti (RJ);12881.4;233.12;46.08;0.774;0.0556729892994372;1.0;307.0191256830601
421660;São José (SC);1473.0;427.58;38.61;0.849;0.3127722981967809;0.9865809321325888;288.783693843594
211120;São José de Ribamar (MA);246.1;129.59;51.47;0.7;0.3055011853382774;0.2537156373388959;357.94666666666666
354980;São José do Rio Preto (SP);824.4;512.01;41.18;0.834;0.2741504431697834;0.94077367421337;437.22317073170734
354990;São José dos Campos (SP);488.9;470.02;48.92;0.849;0.2191446074552976;0.9877696254308722;622.0449826989619
412550;São José dos Pinhais (PR);219.2;311.29;42.8;0.796;0.6030442116825547;0.8974627537735664;398.2768031189084
431870;São Leopoldo (RS);1807.5;370.06;40.79;0.805;0.1976695977178642;0.9966313091910493;320.4420529801325
211130;São Luís (MA);1043.3;252.13;44.31;0.778;0.3054995776019495;0.9627092461392048;254.9159097568122
355030;São Paulo (SP);6808.1;610.04;51.19;0.841;0.081323535401091;0.9404782441520484;470.3291413116971
355100;São Vicente (SP);2034.1;330.52;51.93;0.798;0.1300471301253081;0.9995453811715328;528.8344947735192
320500;Serra (ES);583.5;233.94;44.23;0.761;0.4457323166395088;0.9951429256400596;349.48966267682266
316720;Sete Lagoas (MG);341.9;281.65;35.23;0.791;0.2837015845681669;0.977898101919717;644.1498257839721
231290;Sobral (CE);72.9;151.57;47.29;0.699;0.2196206260063622;0.8662510626239728;446.1954022988506
355220;Sorocaba (SP);1098.7;448.22;44.62;0.828;0.3020057729956782;0.9863375132734038;493.468
355240;Sumaré (SP);1278.1;291.61;51.79;0.8;0.4327759246041573;0.9858379548908872;395.8209255533199
355250;Suzano (SP);1171.5;290.18;46.68;0.775;0.3557704278540896;0.96822335913245;598.6649214659686
355280;Taboão da Serra (SP);9632.2;357.0;53.16;0.809;0.2346268209190174;1.0;545.9779005524862
355410;Taubaté (SP);389.1;460.87;43.89;0.837;0.1797405358393931;0.9413920914135931;525.0860215053764
293135;Teixeira de Freitas (BA);92.7;198.56;45.84;0.698;0.2564555156814383;0.9181474796717712;707.1447368421053
316860;Teófilo Otoni (MG);39.7;210.25;44.53;0.742;-0.0045609420306574;0.7943812584991964;207.4102564102564
221100;Teresina (PI);425.2;250.69;42.61;0.766;0.1960261756120069;0.9470336613732946;233.1681877444589
330580;Teresópolis (RJ);178.1;366.61;35.21;0.79;0.1439163608347347;0.8342784307761386;476.1413793103448
211220;Timon (MA);74.7;104.17;46.82;0.655;0.2071221809584973;0.8718039663202048;749.664739884393
317010;Uberaba (MG);55.4;400.4;35.86;0.834;0.2083850708344319;0.9687364858699232;374.518573551263
317020;Uberlândia (MG);121.5;389.32;37.7;0.83;0.3654787623855435;0.975595254721536;338.8870858688303
432240;Uruguaiana (RS);22.2;290.12;41.02;0.788;0.1216003675755916;0.9338406756160584;173.8849315068493
317070;Varginha (MG);273.0;382.27;33.48;0.824;0.2383040603485491;0.955659736875906;377.15570934256056
510840;Várzea Grande (MT);237.5;247.12;40.8;0.79;0.3301495119238848;0.9814443236815948;260.3361547762999
432300;Viamão (RS);151.7;253.87;41.89;0.808;0.258732240800084;0.930453020503102;273.02400960384153
320520;Vila Velha (ES);1576.5;443.8;42.17;0.817;0.3074178907628762;0.996126775829925;322.7285447761194
320530;Vitória (ES);3279.7;667.68;43.31;0.856;0.1295594276152827;1.0;347.1543942992874
293330;Vitória da Conquista (BA);81.6;204.9;45.76;0.708;0.166168349689681;0.859238687360473;262.494
261640;Vitória de Santo Antão (PE);350.8;129.29;48.6;0.663;0.10071316262354;0.8446802540621892;476.1497975708502
330630;Volta Redonda (RJ);1328.4;348.17;43.56;0.815;0.0906096813725489;0.9997232125521042;364.0045112781955
