Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados;cluster
140010;Boa Vista (RR);5711.9;35.1;0.0;67.11;2.41;299.46;0.58;51.37;42.39;0.779;90.18;91.34;6.73;200568;1437.0;0.4461917843777716;0.0252881815643572;0.9826991344581388;139.57411273486431;2
350750;Botucatu (SP);1486.4;72.7;198.8421277;71.45;1.98;426.18;0.54;52.58;39.69;0.822;83.96;94.39;7.3;108306;178.0;0.1933099018300812;0.0804756892508263;0.9601776448211548;608.4606741573034;2
350760;Bragança Paulista (SP);514.8;242.6;66.91925078;73.08;1.88;397.93;0.55;63.81;40.89;0.82;81.66;92.21;6.44;125031;431.0;0.2518873780964015;0.0705105133926786;0.8885076501027745;290.0951276102088;2
530010;Brasília (DF);5822.1;350.9;0.0;70.37;1.96;605.41;0.64;54.56;42.23;0.844;91.98;94.32;8.25;2051146;5517.0;0.2810903045042952;0.0329211084925207;0.9562941887120664;371.7864781584194;2
260290;Cabo de Santo Agostinho (PE);448.4;340.8;30.93967788;69.02;2.39;132.01;0.57;51.35;49.91;0.707;80.4;79.5;5.08;152977;248.0;0.2042019584999528;0.0429737803722128;0.8791256201912706;616.8427419354839;3
330070;Cabo Frio (RJ);404.0;314.1;121.7455188;70.84;2.2;311.03;0.6;57.11;44.86;0.792;81.07;91.68;6.33;126828;350.0;0.7079601923051027;0.0484356766644589;0.8376462610779954;362.3657142857143;1
430310;Cachoeirinha (RS);43.7;2459.3;15.94803515;72.59;2.37;316.78;0.49;59.52;44.6;0.813;82.87;95.49;6.66;107564;449.0;0.2196156244685072;0.0475716782566658;1.0;239.56347438752783;0
320120;Cachoeiro de Itapemirim (ES);892.9;195.1;99.83970994;68.92;1.93;275.62;0.54;47.32;38.75;0.77;77.85;91.11;5.99;174879;593.0;0.2318632319688933;0.0595325911058503;0.8886201316338725;294.9055649241147;2
290570;Camaçari (BA);762.7;211.3;36.47926037;67.45;2.23;163.15;0.6;52.42;47.57;0.734;86.55;87.65;5.48;161727;322.0;0.4231645825816841;0.0267116807954144;0.9547076245772196;502.2577639751553;3
260345;Camaragibe (PE);48.3;2663.1;11.56314305;70.66;2.18;173.44;0.58;47.09;44.97;0.747;85.48;84.26;5.52;128702;130.0;0.2626880021976512;0.0464017653183322;1.0;990.0153846153846;0
250400;Campina Grande (PB);644.1;549.7;112.972564;63.47;2.25;226.09;0.64;48.07;44.36;0.721;87.45;82.88;6.19;355331;864.0;0.1038415179680898;0.0654291350881291;0.9497735913838083;411.2627314814815;1
350950;Campinas (SP);797.6;1213.5;83.5023372;72.22;1.78;614.86;0.58;74.34;50.06;0.852;87.54;95.01;7.87;969396;1969.0;0.1448608009334657;0.0653685387602177;0.9833112577316184;492.3291010665312;0
500270;Campo Grande (MS);8118.4;81.6;0.0;70.43;2.09;394.71;0.61;51.5;38.35;0.814;86.4;94.01;7.26;663621;2500.0;0.2613347373062726;0.0481991980362285;0.9883864434669788;265.4484;2
330100;Campos dos Goytacazes (RJ);4037.8;100.6;231.9494839;66.8;2.24;247.2;0.58;42.94;38.29;0.752;80.4;89.92;6.17;406989;1564.0;0.0815833532647691;0.068618562172442;0.894807967782913;260.22314578005114;2
