Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;População total, 2000;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Supermercados per Capita
520120;Anhanguera (GO);55.0;16.1;214.4111606;73.22;2.4;190.67;0.46;24.11;27.57;0.802;105.27;90.23;5.33;895;5.0;0.029919447640966546;0.07374301675977654;0.9385474860335196;0.00558659217877095
350230;Anhembi (SP);738.2;6.1;174.1072466;71.67;2.61;237.16;0.53;54.85;33.47;0.768;73.26;89.53;5.08;4535;20.0;0.28216002261803785;0.07916207276736494;0.7199558985667034;0.004410143329658214
350240;Anhumas (SP);321.7;10.6;505.7523114;71.98;1.9;183.38;0.5;50.67;40.95;0.752;78.69;84.99;4.72;3411;4.0;0.0521283158544108;0.07446496628554676;0.7349750806215186;0.0011726766344180592
520130;Anicuns (GO);964.9;19.5;79.20122981;64.01;2.14;217.93;0.6;50.3;40.93;0.721;83.74;84.08;4.64;18754;113.0;0.030099967043831777;0.05700117308307561;0.7853791191212541;0.006025381251999574
420100;Anita Garibaldi (SC);606.1;16.9;254.2649561;73.34;2.38;158.05;0.55;40.35;46.32;0.75;78.13;84.7;4.22;10273;11.0;-0.0053253292021688825;0.07427236445050131;0.40767059281611995;0.0010707680327070963
420110;Anitápolis (SC);576.4;5.6;66.34667308;74.58;3.75;219.28;0.52;37.03;37.22;0.773;73.77;86.08;3.92;3234;26.0;0.07692307692307687;0.08441558441558442;0.34446505875077305;0.008039579468150896
220070;Anísio de Abreu (PI);354.9;20.2;456.3852792;67.39;3.49;88.09;0.55;49.86;55.75;0.635;79.1;62.28;2.83;7166;48.0;0.1279710373052101;0.054842310912643036;0.4672062517443483;0.0066982975160480044
130010;Anori (AM);6274.5;1.8;194.4424642;65.5;4.52;91.12;0.59;49.08;54.39;0.634;61.2;74.43;3.44;11320;114.0;0.2591768631813125;0.04178445229681979;0.6386042402826855;0.010070671378091874
430070;Anta Gorda (RS);240.3;26.3;139.8926715;73.83;1.98;362.51;0.46;13.55;27.82;0.821;82.66;92.45;4.92;6327;19.0;-0.008151747922871877;0.10067962699541647;0.2878141299193931;0.003003003003003003
290160;Antas (BA);289.1;48.6;286.3452549;62.05;2.39;99.99;0.49;32.0;44.79;0.632;80.27;70.32;3.08;14059;52.0;-0.1780285313376988;0.08322071271071911;0.35663987481328685;0.003698698342698627
410120;Antonina (PR);880.0;21.8;56.29916525;73.68;3.03;196.8;0.59;45.13;43.53;0.77;76.14;88.56;5.05;19174;120.0;0.12325717633274746;0.07468446855116304;0.8259622405340565;0.006258475018253886
230080;Antonina do Norte (CE);250.8;25.9;375.5838691;66.42;2.61;73.91;0.6;57.92;61.27;0.613;83.1;57.07;2.33;6509;14.0;0.2797876523790799;0.08557382086341989;0.6804424642802274;0.002150868028883085
220080;Antônio Almeida (PI);604.5;4.7;282.4960059;64.78;4.08;81.0;0.53;46.15;53.62;0.643;81.98;73.2;3.56;2851;16.0;-0.1181565109805135;0.07050157839354612;0.6720448965275342;0.0056120659417748155
290170;Antônio Cardoso (BA);295.1;39.4;88.9126658;68.57;2.82;73.64;0.54;51.0;56.59;0.647;86.12;65.67;2.35;11620;1.0;0.02577683615819204;0.079776247848537;0.19931153184165232;8.605851979345956e-05
310290;Antônio Carlos (MG);526.4;20.6;168.2023483;70.93;2.14;167.89;0.52;30.58;37.04;0.733;72.38;84.5;4.65;10870;26.0;0.10782715042804725;0.060165593376264946;0.5456301747930082;0.002391904323827047
420120;Antônio Carlos (SC);242.8;26.4;23.3341462;77.9;2.54;291.83;0.45;35.27;32.3;0.827;76.73;93.45;4.87;6434;22.0;0.1462675930874755;0.0755362138638483;0.2735467827168169;0.0034193347839602114
310300;Antônio Dias (MG);880.4;11.4;114.8341272;63.9;2.96;118.19;0.54;44.52;45.3;0.661;74.48;77.52;3.43;10044;33.0;0.027834629553827206;0.06202708084428515;0.4430505774591796;0.0032855436081242534
290180;Antônio Gonçalves (BA);317.4;30.4;328.2970726;60.39;3.01;77.12;0.56;52.39;57.41;0.62;89.0;71.5;2.96;9716;21.0;-0.310041187331345;0.06803211198023879;0.5413750514615068;0.002161383285302594
500090;Antônio João (MS);1146.7;6.5;236.4143793;66.92;3.22;142.26;0.56;40.98;42.31;0.702;81.15;80.67;3.82;7408;42.0;0.11633514165159742;0.058315334773218146;0.8500269978401728;0.005669546436285098
240090;Antônio Martins (RN);251.6;26.8;301.6433153;67.81;2.8;68.33;0.6;64.35;62.86;0.636;82.73;66.02;3.11;6757;11.0;-0.1066895822316235;0.08006511765576439;0.4672191801095161;0.001627941394109812
